"Noise","% of Obs","% of Var","X4","X5"
0,1,1,31128.781,31143.238
1,1,1,31156.146,31172.379
2,1,1,31187.098,31202.67
3,1,1,31215.776,31231.305
4,1,1,31251.271,31265.884
0,0.8,1,31290.42,31305.068
1,0.8,1,31337.12,31362.529
2,0.8,1,31387.539,31413.09
3,0.8,1,31434.722,31451.86
4,0.8,1,31471.502,31486.137
0,0.6,1,31496.219,31512.519
1,0.6,1,31530.057,31550.68
2,0.6,1,31565.468,31584.381
3,0.6,1,31599.663,31619.501
4,0.6,1,31639.207,31656.877
0,0.4,1,31672.596,31689.157
1,0.4,1,31700.018,31717.189
2,0.4,1,31728.019,31745.305
3,0.4,1,31757.278,31775.634
4,0.4,1,31793.282,31810.093
0,0.2,1,31820.336,31836.749
1,0.2,1,31850.104,31867.289
2,0.2,1,31877.827,31895.057
3,0.2,1,31905.652,31923.249
4,0.2,1,31941.814,31958.281
0,1,0.8,31968.375,31988.517
1,1,0.8,32022.883,32044.647
2,1,0.8,32057.09,32081.261
3,1,0.8,32093.262,32116.388
4,1,0.8,32137.099,32158.08
0,0.8,0.8,32167.874,32187.44
1,0.8,0.8,32197.022,32218.451
2,0.8,0.8,32229.328,32251.769
3,0.8,0.8,32262.947,32283.019
4,0.8,0.8,32303.54,32326.08
0,0.6,0.8,32338.931,32362.204
1,0.6,0.8,32372.921,32395.983
2,0.6,0.8,32407.567,32429.721
3,0.6,0.8,32442.008,32464.875
4,0.6,0.8,32486.239,32506.579
0,0.4,0.8,32515.686,32535.635
1,0.4,0.8,32546.589,32566.912
2,0.4,0.8,32577.344,32598.33
3,0.4,0.8,32607.743,32628.283
4,0.4,0.8,32645.846,32666.004
0,0.2,0.8,32675.608,32695.429
1,0.2,0.8,32705.242,32725.175
2,0.2,0.8,32734.861,32755.056
3,0.2,0.8,32764.74,32785.568
4,0.2,0.8,32804.788,32824.96
0,1,0.6,32834.412,32865.092
1,1,0.6,32894.72,32923.815
2,1,0.6,32934.129,32965.227
3,1,0.6,32977.913,33014.876
4,1,0.6,33040.414,33074.44
0,0.8,0.6,33086.291,33118.054
1,0.8,0.6,33131.777,33168.826
2,0.8,0.6,33181.182,33217.141
3,0.8,0.6,33230.716,33266.419
4,0.8,0.6,33293.815,33329.21
0,0.6,0.6,33345.831,33384.484
1,0.6,0.6,33398.654,33435.224
2,0.6,0.6,33450.913,33495.131
3,0.6,0.6,33510.277,33545.364
4,0.6,0.6,33569.152,33603.922
0,0.4,0.6,33620.878,33655.331
1,0.4,0.6,33668.662,33703.259
2,0.4,0.6,33714.373,33748.677
3,0.4,0.6,33761.987,33796.761
4,0.4,0.6,33820.384,33855.417
0,0.2,0.6,33869.982,33904.127
1,0.2,0.6,33915.893,33950.605
2,0.2,0.6,33962.032,33996.407
3,0.2,0.6,34009.177,34044.168
4,0.2,0.6,34067.809,34102.29
0,1,0.4,34115.977,34155.194
1,1,0.4,34165.312,34205.94
2,1,0.4,34218.526,34259.954
3,1,0.4,34270.976,34310.935
4,1,0.4,34332.642,34372.273
0,0.8,0.4,34382.597,34423.189
1,0.8,0.4,34434.062,34474.847
2,0.8,0.4,34488.138,34529.541
3,0.8,0.4,34540.017,34584.274
4,0.8,0.4,34607.627,34648.493
0,0.6,0.4,34661.458,34700.63
1,0.6,0.4,34711.661,34752.118
2,0.6,0.4,34763.143,34803.641
3,0.6,0.4,34814.281,34854.307
4,0.6,0.4,34877.33,34917.982
0,0.4,0.4,34931.771,34971.479
1,0.4,0.4,34982.585,35023.535
2,0.4,0.4,35034.148,35075.231
3,0.4,0.4,35085.677,35125.086
4,0.4,0.4,35147.336,35187.895
0,0.2,0.4,35196.59,35236.642
1,0.2,0.4,35245.772,35288.852
2,0.2,0.4,35299.898,35339.314
3,0.2,0.4,35351.108,35390.145
4,0.2,0.4,35415.385,35455.123
0,1,0.2,35468.947,35514.61
1,1,0.2,35522.632,35569.982
2,1,0.2,35577.405,35614.318
3,1,0.2,35631.571,35665.954
4,1,0.2,35680.456,35712.849
0,0.8,0.2,35719.952,35757.191
1,0.8,0.2,35767.915,35813.726
2,0.8,0.2,35821.519,35868.645
3,0.8,0.2,35878.113,35924.713
4,0.8,0.2,35945.638,35991.811
0,0.6,0.2,36000.486,36045.767
1,0.6,0.2,36053.441,36101.886
2,0.6,0.2,36113.082,36159.606
3,0.6,0.2,36169.463,36215.455
4,0.6,0.2,36236.363,36282.959
0,0.4,0.2,36290.47,36337.662
1,0.4,0.2,36344.049,36391.907
2,0.4,0.2,36401.704,36448.088
3,0.4,0.2,36461.112,36504.137
4,0.4,0.2,36527.951,36566.983
0,0.2,0.2,36585.727,36623.734
1,0.2,0.2,36648.205,36686.596
2,0.2,0.2,36714.356,36755.816
3,0.2,0.2,36762.646,36803.1
4,0.2,0.2,36820.607,36860.847
